id,id_accs,id_props
a062A00001Whq5tQAB,0012A000023XlCCQA0,a0I2A00000XQKwXUAX
a062A00001VmP7EQAV,0012A000023XmOxQAK,a0I2A00000XvUEwUAN
a062A00001VmQByQAN,0012A000023XmOxQAK,a0I2A00000XwQ13UAF
a062A00001VmQC2QAN,0012A000023XmOxQAK,a0I2A00000XwZyBUAV
a062A00001VmW8wQAF,0012A000023XmOxQAK,a0I2A00000ZGZClUAP
a062A00001VmW8xQAF,0012A000023XmOxQAK,a0I2A00000ZGZCmUAP
a062A00001VmW8yQAF,0012A000023XmOxQAK,a0I2A00000ZGZCnUAP
a062A00001VmW9BQAV,0012A000023XmOxQAK,a0I2A00000ZGZD2UAP
a062A00001WhlUYQAZ,0012A000023XmOxQAK,a0I2A00000XQHk4UAH
a062A00001Whq5sQAB,0012A000023XmOxQAK,a0I2A00000XQKwXUAX
a062A00001WiivKQAR,0012A000023XmOxQAK,a0I2A00000XQLUWUA5
a062A00001WikNpQAJ,0012A000023XmOxQAK,a0I2A00000XwHA2UAN
a062A00001WikhtQAB,0012A000023XmOxQAK,a0I2A00000XwHKnUAN
a062A00001WikoBQAR,0012A000023XmOxQAK,a0I2A00000XwHNuUAN
a062A00001Wimd6QAB,0012A000023XmOxQAK,a0I2A00000XwILpUAN
a062A00001WimxsQAB,0012A000023XmOxQAK,a0I2A00000XwIY8UAN
a062A00001Wio7bQAB,0012A000023XmOxQAK,a0I2A00000XwJDRUA3
a062A00001WitPnQAJ,0012A000023XmOxQAK,a0I2A00000XwLpgUAF
a062A00001WitWCQAZ,0012A000023XmOxQAK,a0I2A00000XwLsrUAF
a062A00001Witt6QAB,0012A000023XmOxQAK,a0I2A00000XwM3IUAV
a062A00001Wiw9pQAB,0012A000023XmOxQAK,a0I2A00000XwNCBUA3
a062A00001WixBTQAZ,0012A000023XmOxQAK,a0I2A00000XwNijUAF
a062A00001WiykDQAR,0012A000023XmOxQAK,a0I2A00000XwOT3UAN
a062A00001Wizs0QAB,0012A000023XmOxQAK,a0I2A00000XwP0lUAF
a062A00001Wj13QQAR,0012A000023XmOxQAK,a0I2A00000XwPamUAF
a062A00001Wj1POQAZ,0012A000023XmOxQAK,a0I2A00000XwPl2UAF
a062A00001Wj1lTQAR,0012A000023XmOxQAK,a0I2A00000XwPvHUAV
a062A00001Wj2H2QAJ,0012A000023XmOxQAK,a0I2A00000XwQC1UAN
a062A00001Wj2MEQAZ,0012A000023XmOxQAK,a0I2A00000XwQERUA3
a062A00001Wj3s0QAB,0012A000023XmOxQAK,a0I2A00000XwR1XUAV
a062A00001Wj5B6QAJ,0012A000023XmOxQAK,a0I2A00000XQGxsUAH
a062A00001WjIEqQAN,0012A000023XmOxQAK,a0I2A00000XwRwlUAF
a062A00001WjIcTQAV,0012A000023XmOxQAK,a0I2A00000XwS26UAF
a062A00001WjKVBQA3,0012A000023XmOxQAK,a0I2A00000XwSwfUAF
a062A00001WjL03QAF,0012A000023XmOxQAK,a0I2A00000XwT9UUAV
a062A00001WjM4tQAF,0012A000023XmOxQAK,a0I2A00000XwTalUAF
a062A00001WjMKuQAN,0012A000023XmOxQAK,a0I2A00000XwThHUAV
a062A00001WjMjXQAV,0012A000023XmOxQAK,a0I2A00000XwTo5UAF
a062A00001WjNJ7QAN,0012A000023XmOxQAK,a0I2A00000XwU3RUAV
a062A00001WjNcEQAV,0012A000023XmOxQAK,a0I2A00000XwUBRUA3
a062A00001WjO4zQAF,0012A000023XmOxQAK,a0I2A00000XwULnUAN
a062A00001WjOPpQAN,0012A000023XmOxQAK,a0I2A00000XwUUKUA3
a062A00001WjPJOQA3,0012A000023XmOxQAK,a0I2A00000XwUpfUAF
a062A00001WjQYdQAN,0012A000023XmOxQAK,a0I2A00000XwVHEUA3
a062A00001WjVKuQAN,0012A000023XmOxQAK,a0I2A00000XwX3GUAV
a062A00001WjYC2QAN,0012A000023XmOxQAK,a0I2A00000XwY3BUAV
a062A00001WjYdiQAF,0012A000023XmOxQAK,a0I2A00000XwGYbUAN
a062A00001WjYkrQAF,0012A000023XmOxQAK,a0I2A00000XwYE7UAN
a062A00001WjaexQAB,0012A000023XmOxQAK,a0I2A00000XwYWdUAN
a062A00001WjdKCQAZ,0012A000023XmOxQAK,a0I2A00000XwZVWUA3
a062A00001WjdpqQAB,0012A000023XmOxQAK,a0I2A00000XwZhLUAV
a062A00001WjfXTQAZ,0012A000023XmOxQAK,a0I2A00000XwaKbUAJ
a062A00001WjhsBQAR,0012A000023XmOxQAK,a0I2A00000Xwb92UAB
a062A00001Wji85QAB,0012A000023XmOxQAK,a0I2A00000XwbP9UAJ
a062A00001WjiBKQAZ,0012A000023XmOxQAK,a0I2A00000XwbQfUAJ
a062A00001WjiGqQAJ,0012A000023XmOxQAK,a0I2A00000XwbTCUAZ
a062A00001WjihIQAR,0012A000023XmOxQAK,a0I2A00000XwbdsUAB
a062A00001Ypq1MQAR,0012A000023XmOxQAK,a0I2A00000XwcrGUAR
a062A00001YpqAtQAJ,0012A000023XmOxQAK,a0I2A00000Xwcv9UAB
a062A00001YpqTpQAJ,0012A000023XmOxQAK,a0I2A00000Xwd3MUAR
a062A00001YprEDQAZ,0012A000023XmOxQAK,a0I2A00000XwdOKUAZ
a062A00001YpuR8QAJ,0012A000023XmOxQAK,a0I2A00000XweoFUAR
a062A00001YpuUnQAJ,0012A000023XmOxQAK,a0I2A00000Xweq1UAB
a062A00001YpvJ7QAJ,0012A000023XmOxQAK,a0I2A00000Xwf8XUAR
a062A00001YpvmPQAR,0012A000023XmOxQAK,a0I2A00000XwfPoUAJ
a062A00001YpvnJQAR,0012A000023XmOxQAK,a0I2A00000XwfQ9UAJ
a062A00001YpvwSQAR,0012A000023XmOxQAK,a0I2A00000XwfThUAJ
a062A00001YpwJAQAZ,0012A000023XmOxQAK,a0I2A00000XwfcEUAR
a062A00001Ypwv7QAB,0012A000023XmOxQAK,a0I2A00000XwfqEUAR
a062A00001YpxgrQAB,0012A000023XmOxQAK,a0I2A00000Xwg8pUAB
a062A00001Yq1BJQAZ,0012A000023XmOxQAK,a0I2A00000XwigEUAR
a062A00001Yq1OiQAJ,0012A000023XmOxQAK,a0I2A00000XwitSUAR
a062A00001YqFikQAF,0012A000023XmOxQAK,a0I2A00000XxFAKUA3
a062A00001YrlHdQAJ,0012A000023XmOxQAK,a0I2A00000YFWtuUAH
a062A00001Ys0UNQAZ,0012A000023XmOxQAK,a0I2A00000YFnihUAD
a062A00001Ys6FeQAJ,0012A000023XmOxQAK,a0I2A00000YFtgZUAT
a062A00001Ys6HZQAZ,0012A000023XmOxQAK,a0I2A00000YFthzUAD
a062A00001Ys6Z3QAJ,0012A000023XmOxQAK,a0I2A00000YFu08UAD
a062A00001Ys6d6QAB,0012A000023XmOxQAK,a0I2A00000YFu46UAD
a062A00001YsIaSQAV,0012A000023XmOxQAK,a0I2A00000YG54TUAT
a062A00001YsPxXQAV,0012A000023XmOxQAK,a0I2A00000YGCcTUAX
a062A00001YsQmFQAV,0012A000023XmOxQAK,a0I2A00000YGDX7UAP
a062A00001YsgyfQAB,0012A000023XmOxQAK,a0I2A00000YGWjJUAX
a062A00001c3GyjQAE,0012A000023XmOxQAK,a0I2A00000XwVK3UAN
a062A00001c3H1OQAU,0012A000023XmOxQAK,a0I2A00000XwY2WUAV
a062A00001c3jI0QAI,0012A000023XmOxQAK,a0I2A00000YrYH7UAN
a062A00001VluvmQAB,0012A000023YLqwQAG,a0I2A00000XQIHiUAP
a062A00001VlwEsQAJ,0012A000023YLqwQAG,a0I2A00000XQVacUAH
a062A00001VlwF1QAJ,0012A000023YLqwQAG,a0I2A00000XwOPFUA3
a062A00001VlwF2QAJ,0012A000023YLqwQAG,a0I2A00000XweIHUAZ
a062A00001VlwFAQAZ,0012A000023YLqwQAG,a0I2A00000YSWSqUAP
a062A00001VlwFBQAZ,0012A000023YLqwQAG,a0I2A00000YSWSrUAP
a062A00001VlwFCQAZ,0012A000023YLqwQAG,a0I2A00000YSWStUAP
a062A00001Vm40OQAR,0012A000023YLqwQAG,a0I2A00000XQJwiUAH
a062A00001Vm4R1QAJ,0012A000023YLqwQAG,a0I2A00000Y5tWOUAZ
a062A00001Vm4R6QAJ,0012A000023YLqwQAG,a0I2A00000Y5tWPUAZ
a062A00001Vm4SCQAZ,0012A000023YLqwQAG,a0I2A00000Y5tY7UAJ
a062A00001Vm7RhQAJ,0012A000023YLqwQAG,a0I2A00000XQGhNUAX
a062A00001Vm7UMQAZ,0012A000023YLqwQAG,a0I2A00000XQUl7UAH
a062A00001Vm7XFQAZ,0012A000023YLqwQAG,a0I2A00000XuSjjUAF
a062A00001Vm7juQAB,0012A000023YLqwQAG,a0I2A00000Y5xoeUAB
a062A00001Vm8EtQAJ,0012A000023YLqwQAG,a0I2A00000XuxClUAJ
a062A00001VmAtWQAV,0012A000023YLqwQAG,a0I2A00000XwSRgUAN
a062A00001VmAtcQAF,0012A000023YLqwQAG,a0I2A00000YJ7lWUAT
a062A00001VmEPPQA3,0012A000023YLqwQAG,a0I2A00000XQIt2UAH
a062A00001VmEPXQA3,0012A000023YLqwQAG,a0I2A00000XQO5rUAH
a062A00001VmEPYQA3,0012A000023YLqwQAG,a0I2A00000XQOleUAH
a062A00001VmEPZQA3,0012A000023YLqwQAG,a0I2A00000XQPARUA5
a062A00001VmEPaQAN,0012A000023YLqwQAG,a0I2A00000XQQ70UAH
a062A00001VmEPbQAN,0012A000023YLqwQAG,a0I2A00000XQR6qUAH
a062A00001VmEPgQAN,0012A000023YLqwQAG,a0I2A00000XQSglUAH
a062A00001VmEPhQAN,0012A000023YLqwQAG,a0I2A00000XQSgbUAH
a062A00001VmEPiQAN,0012A000023YLqwQAG,a0I2A00000XQVZJUA5
a062A00001VmEPjQAN,0012A000023YLqwQAG,a0I2A00000XQf2DUAT
a062A00001VmEPkQAN,0012A000023YLqwQAG,a0I2A00000XuNC2UAN
a062A00001VmEPlQAN,0012A000023YLqwQAG,a0I2A00000XuPnDUAV
a062A00001VmEPmQAN,0012A000023YLqwQAG,a0I2A00000XuPonUAF
a062A00001VmEPnQAN,0012A000023YLqwQAG,a0I2A00000XuQ76UAF
a062A00001VmEPoQAN,0012A000023YLqwQAG,a0I2A00000XuxCpUAJ
a062A00001VmEPqQAN,0012A000023YLqwQAG,a0I2A00000XuxCrUAJ
a062A00001VmEPrQAN,0012A000023YLqwQAG,a0I2A00000XuxCwUAJ
a062A00001VmEPsQAN,0012A000023YLqwQAG,a0I2A00000XuxCxUAJ
a062A00001VmEPtQAN,0012A000023YLqwQAG,a0I2A00000XuxCyUAJ
a062A00001VmEPuQAN,0012A000023YLqwQAG,a0I2A00000XuxD1UAJ
a062A00001VmEPwQAN,0012A000023YLqwQAG,a0I2A00000Y68R9UAJ
a062A00001VmEQ0QAN,0012A000023YLqwQAG,a0I2A00000Y68RAUAZ
a062A00001VmEhBQAV,0012A000023YLqwQAG,a0I2A00000Y6QLpUAN
a062A00001VmHBhQAN,0012A000023YLqwQAG,a0I2A00000XwLFAUA3
a062A00001VmLypQAF,0012A000023YLqwQAG,a0I2A00000XQKxrUAH
a062A00001VmMYAQA3,0012A000023YLqwQAG,a0I2A00000XQIBcUAP
a062A00001VmMYCQA3,0012A000023YLqwQAG,a0I2A00000XQIT1UAP
a062A00001VmMntQAF,0012A000023YLqwQAG,a0I2A00000XQHYgUAP
a062A00001VmMnvQAF,0012A000023YLqwQAG,a0I2A00000XQHm3UAH
a062A00001VmQBtQAN,0012A000023YLqwQAG,a0I2A00000ZGEJ1UAP
a062A00001VmQC5QAN,0012A000023YLqwQAG,a0I2A00000XwfVSUAZ
a062A00001VmQwBQAV,0012A000023YLqwQAG,a0I2A00000XQIHWUA5
a062A00001VmTBeQAN,0012A000023YLqwQAG,a0I2A00000Xu9VkUAJ
a062A00001VmTFqQAN,0012A000023YLqwQAG,a0I2A00000XwYyDUAV
a062A00001VmTHRQA3,0012A000023YLqwQAG,a0I2A00000ZGPXdUAP
a062A00001VmUehQAF,0012A000023YLqwQAG,a0I2A00000ZGK2SUAX
a062A00001VmUkWQAV,0012A000023YLqwQAG,a0I2A00000XQHQ8UAP
a062A00001VmUkXQAV,0012A000023YLqwQAG,a0I2A00000XQKE5UAP
a062A00001VmWBvQAN,0012A000023YLqwQAG,a0I2A00000ZGZC9UAP
a062A00001VmWByQAN,0012A000023YLqwQAG,a0I2A00000ZGZCDUA5
a062A00001VmWC5QAN,0012A000023YLqwQAG,a0I2A00000ZGZCJUA5
a062A00001VmWDTQA3,0012A000023YLqwQAG,a0I2A00000ZGZCiUAP
a062A00001VmWlZQAV,0012A000023YLqwQAG,a0I2A00000ZGaiHUAT
a062A00001VmYO0QAN,0012A000023YLqwQAG,a0I2A00000XQLd9UAH
a062A00001VmZ6PQAV,0012A000023YLqwQAG,a0I2A00000ZGhrGUAT
a062A00001VmZKsQAN,0012A000023YLqwQAG,a0I2A00000ZGmCMUA1
a062A00001Vmos5QAB,0012A000023YLqwQAG,a0I2A00000XQHagUAH
a062A00001VmpdAQAR,0012A000023YLqwQAG,a0I2A00000XQGmGUAX
a062A00001VmpdvQAB,0012A000023YLqwQAG,a0I2A00000XQGvIUAX
a062A00001Vmpe0QAB,0012A000023YLqwQAG,a0I2A00000XQGw2UAH
a062A00001VmpsWQAR,0012A000023YLqwQAG,a0I2A00000XQJBsUAP
a062A00001VmpwHQAR,0012A000023YLqwQAG,a0I2A00000XQJKuUAP
a062A00001VmpySQAR,0012A000023YLqwQAG,a0I2A00000XQKEeUAP
a062A00001Vmq97QAB,0012A000023YLqwQAG,a0I2A00000XQM5eUAH
a062A00001Vmq9CQAR,0012A000023YLqwQAG,a0I2A00000XQM7EUAX
a062A00001VmqiRQAR,0012A000023YLqwQAG,a0I2A00000XQTwVUAX
a062A00001VmsX0QAJ,0012A000023YLqwQAG,a0I2A00000XuEmeUAF
a062A00001VmsiEQAR,0012A000023YLqwQAG,a0I2A00000XuGyeUAF
a062A00001Vmuy1QAB,0012A000023YLqwQAG,a0I2A00000ZGfIvUAL
a062A00001VmzGCQAZ,0012A000023YLqwQAG,a0I2A00000YI5uSUAT
a062A00001WhjWUQAZ,0012A000023YLqwQAG,a0I2A00000XQGLrUAP
a062A00001WhjayQAB,0012A000023YLqwQAG,a0I2A00000XQGOHUA5
a062A00001Whjb2QAB,0012A000023YLqwQAG,a0I2A00000XQGOIUA5
a062A00001Whjb8QAB,0012A000023YLqwQAG,a0I2A00000XQGOUUA5
a062A00001WhjbCQAR,0012A000023YLqwQAG,a0I2A00000XQGOVUA5
a062A00001Whjl5QAB,0012A000023YLqwQAG,a0I2A00000XQGVGUA5
a062A00001WhjogQAB,0012A000023YLqwQAG,a0I2A00000XQGXZUA5
a062A00001WhjpkQAB,0012A000023YLqwQAG,a0I2A00000XQGZHUA5
a062A00001WhjqcQAB,0012A000023YLqwQAG,a0I2A00000XQGZ9UAP
a062A00001Whk1DQAR,0012A000023YLqwQAG,a0I2A00000XQGhhUAH
a062A00001Whk4LQAR,0012A000023YLqwQAG,a0I2A00000XQGjqUAH
a062A00001Whk7FQAR,0012A000023YLqwQAG,a0I2A00000XQGliUAH
a062A00001Whk9SQAR,0012A000023YLqwQAG,a0I2A00000XQGnGUAX
a062A00001WhkAUQAZ,0012A000023YLqwQAG,a0I2A00000XQGntUAH
a062A00001WhkD7QAJ,0012A000023YLqwQAG,a0I2A00000XQGnpUAH
a062A00001WhkE0QAJ,0012A000023YLqwQAG,a0I2A00000XQGq8UAH
a062A00001WhkFVQAZ,0012A000023YLqwQAG,a0I2A00000XQHDrUAP
a062A00001WhkGQQAZ,0012A000023YLqwQAG,a0I2A00000XQGoYUAX
a062A00001WhkIXQAZ,0012A000023YLqwQAG,a0I2A00000XQGsuUAH
a062A00001WhkIdQAJ,0012A000023YLqwQAG,a0I2A00000XQGszUAH
a062A00001WhkJEQAZ,0012A000023YLqwQAG,a0I2A00000XQGtTUAX
a062A00001WhkJKQAZ,0012A000023YLqwQAG,a0I2A00000XQGtKUAX
a062A00001WhkN2QAJ,0012A000023YLqwQAG,a0I2A00000XQGw7UAH
a062A00001WhkOHQAZ,0012A000023YLqwQAG,a0I2A00000XQGwhUAH
a062A00001WhkOiQAJ,0012A000023YLqwQAG,a0I2A00000XQGxEUAX
a062A00001WhkPeQAJ,0012A000023YLqwQAG,a0I2A00000XQGy7UAH
a062A00001WhkRNQAZ,0012A000023YLqwQAG,a0I2A00000XQGzLUAX
a062A00001WhkRoQAJ,0012A000023YLqwQAG,a0I2A00000XQHGOUA5
a062A00001WhkTDQAZ,0012A000023YLqwQAG,a0I2A00000XQH0QUAX
a062A00001WhkUKQAZ,0012A000023YLqwQAG,a0I2A00000XQH1BUAX
a062A00001WhkUxQAJ,0012A000023YLqwQAG,a0I2A00000XQH1WUAX
a062A00001WhkVnQAJ,0012A000023YLqwQAG,a0I2A00000XQH29UAH
a062A00001WhkWOQAZ,0012A000023YLqwQAG,a0I2A00000XQH2jUAH
a062A00001WhkWwQAJ,0012A000023YLqwQAG,a0I2A00000XQH34UAH
a062A00001WhkXXQAZ,0012A000023YLqwQAG,a0I2A00000XQH3vUAH
a062A00001WhkbnQAB,0012A000023YLqwQAG,a0I2A00000XQH6LUAX
a062A00001WhkbxQAB,0012A000023YLqwQAG,a0I2A00000XQH6WUAX
a062A00001WhkdFQAR,0012A000023YLqwQAG,a0I2A00000XQH7HUAX
a062A00001WhkdWQAR,0012A000023YLqwQAG,a0I2A00000XQH7hUAH
a062A00001WhkeNQAR,0012A000023YLqwQAG,a0I2A00000XQH7yUAH
a062A00001WhkejQAB,0012A000023YLqwQAG,a0I2A00000XQH81UAH
a062A00001WhkemQAB,0012A000023YLqwQAG,a0I2A00000XQH7wUAH
a062A00001Whkf3QAB,0012A000023YLqwQAG,a0I2A00000XQHFIUA5
a062A00001WhkgLQAR,0012A000023YLqwQAG,a0I2A00000XQH9EUAX
a062A00001WhkhLQAR,0012A000023YLqwQAG,a0I2A00000XQH9vUAH
a062A00001Whki4QAB,0012A000023YLqwQAG,a0I2A00000XQGn1UAH
